,text
199,@fentymafiosa @_geygomess não foi esse show que a anitta trocou o lugar por que as vendas encalharam?
200,"@leiatheinvestor Alô malditos
@anterogreco 
@Anitta 
@LucianoHuck 
@Ludmilla 
@GretaTumberg 
@MarkRuffalo 
@LeoDiCaprio 

A Amazonia está queimando
Desgraçados
Cadê VCS"
201,@onlytiago_ @blindsoty o problema de ser fã o da olivia é pq ela foi best new artist e a anitta não? kkk https://t.co/2Hy8QPcR6D
202,anitta sempre contribuindo e colocando gente otaria na midia
203,"Apesar de tudo, um dia eu queria ver e escutar a Anitta cantar  Shallow!"
204,"""Anitta tá focada no álbum dela"" mas a música é dele ue kkkk ela só participaria e ta ok gente plmds praq esse auê todo"
205,"Yuri Meirelles, modelo do clipe de ""Funk Rave"", de Anitta, tem comportamento agr*ssivo ao receber DM de rapaz: ""E aí o que, meu parceiro? Tenho cara de v*ado?"".👀🚨 https://t.co/Gq5xhjxRCn"
206,@haIIucinado @mfelpsx @tracklist como vc tava falando da anitta se no perfil só tem a ariana?
207,@forumpandlr E a Anitta nem Mamou ele.. se manca rapaz!
208,"@clovanitta ai amigo é a minha msc preferida da anitta enquanto tds ja tao de saco cheio e to escutando ainda, ainda nao superei 😔🫂"
209,@forumpandlr E ainda dizem que a Anitta não é ministra do turismo sexual sendo que a única coisa que esse boy ganhou foi um bando de viado no cio e uma proposta pra entrar no irmão dotados
210,"Transar ao som de funk have da Anitta, gostoso demais 😈😈😈🍆👄"
211,"@forumpandlr Afff, olha p quem a Anitta da palco"
212,@_LucasEstevao_ @Anitta Já estou garantida… tremendo a raba e tudo!
213,"@getwreird @forumpandlr Agr pronto, oq a Anitta tem a ver kkkkk"
214,Porra @Anitta vê se escolhe direito teus macho caralho
215,essa música nova da anitta funk rave foi uma das piores coisas q eu já ouvi
216,"@iBlogueirinha sim blo,anitta não faria isso com a carreira dela"
217,e isso uma beijo da anitta😄🫶🏻😍💋
218,"@vinnywithy @AcessoAnittaR @alfonsolacruzz @Anitta Amor acorda para vida ,álbum só em 1 ano ,se for para esse remix sair é por esse mês ou próximo mês"
219,@junnixr @forumpandlr a anitta não conhecia ele
220,ela querendo provocar a anitta
221,@FreaksProducoes Vai ser tudo https://t.co/854oekdJb7
222,@AnittaCrave @JioSaavn @Anitta Passado
223,@tiffanylndr @forumpandlr ah c ctz ele faz um clipe com a Anitta e ele jura q só vai ter gostosa chamando ele na dm…. faz favor…. ele eh só homofóbico mesmo. e p raiva dele eh bem padrão das gays kkkkkkkkkkkkkkk
224,"VAMOS LÁ NÉ GALERINHA… vamos parar de pedir remix, discutir com haters e fazer o que realmente importa…
#FUNKRAVE #ANITTA 
 https://t.co/cb3au4GBR9"
225,"Pq swifts tanto ódio da Anitta? Ela NN vai comer vcs.
A Anitta é tão relevante pra eles que eu fico de caraaaa https://t.co/h19v4eBEkB"
226,a anitta so gosta se for assim
227,"@mari_meireles SIM, nossa me mordo com isso, cara. Anitta errou MUITO"
228,@pallomatamirys a gkay e a anitta tiveram uma filha scrr
229,"o quão lgbt cult br 🇧🇷 você é?

Alcione✅️
Anitta ❌
Ludmilla ✅
Claudia Leitte ❌
Daniela Mercury ❌️
Margareth Menezes❌
Ivete Sangalo  ❌
Zélia Duncan ❌
Ana Carolina ❌
IZA❌
Pabllo Vittar ❌
Sandy ❌️
Glória Groove ❌
Bethânia ❌
Gal Costa ❌
Joelma ❌️"
230,"@alfonsolacruzz @AcessoAnittaR @Anitta Nos queremos muito, vi no YouTube cara 😍"
231,@aniweeknd @ludmonet @onlytiago_ Qualquer um da anitta? Sim
